dset,model,sparsity,seed,val_acc
cars,RigL ERK 5x,0.95,seed_51,0.5701
cars,RigL ERK 5x,0.95,seed_81,0.5687
cars,RigL ERK 5x,0.95,seed_111,0.5706
cars,RigL ERK 5x,0.95,seed_141,0.5705
cars,LTH-T,0.8,seed_21,0.3271
cars,LTH-T,0.8,seed_51,0.3276
cars,LTH-T,0.8,seed_81,0.3268
cars,LTH-T,0.8,seed_111,0.3282
cars,LTH-T,0.8,seed_141,0.3269
cars,LTH-T,0.9,seed_21,0.1543
cars,LTH-T,0.9,seed_51,0.1541
cars,LTH-T,0.9,seed_81,0.1532
cars,LTH-T,0.9,seed_111,0.1533
cars,LTH-T,0.9,seed_141,0.1528
cars,LTH-T,0.95,seed_21,0.039
cars,LTH-T,0.95,seed_51,0.0397
cars,LTH-T,0.95,seed_81,0.0374
cars,LTH-T,0.95,seed_111,0.0412
cars,LTH-T,0.95,seed_141,0.04
cars,STR,0.8,seed_21,0.5707
cars,STR,0.8,seed_51,0.5703
cars,STR,0.8,seed_81,0.5701
cars,STR,0.8,seed_141,0.5693
cars,STR,0.8,seed_111,0.5702
cars,STR,0.9,seed_21,0.5477
cars,STR,0.9,seed_51,0.5484
cars,STR,0.9,seed_81,0.5469
cars,STR,0.9,seed_141,0.5479
cars,STR,0.9,seed_111,0.5479
cars,STR,0.95,seed_21,0.5038
cars,STR,0.95,seed_51,0.5045
cars,STR,0.95,seed_81,0.5054
cars,STR,0.95,seed_141,0.5064
cars,STR,0.95,seed_111,0.504
cars,STR,0.98,seed_21,0.4441
cars,STR,0.98,seed_51,0.443
cars,STR,0.98,seed_81,0.445
cars,STR,0.98,seed_141,0.4426
cars,STR,0.98,seed_111,0.4435
cars,WoodFisher,0.8,seed_21,0.4499
cars,WoodFisher,0.8,seed_51,0.4481
cars,WoodFisher,0.8,seed_81,0.4494
cars,WoodFisher,0.8,seed_141,0.4493
cars,WoodFisher,0.8,seed_111,0.4487
cars,WoodFisher,0.9,seed_21,0.4676
cars,WoodFisher,0.9,seed_51,0.4679
cars,WoodFisher,0.9,seed_81,0.467
cars,WoodFisher,0.9,seed_141,0.4674
cars,WoodFisher,0.9,seed_111,0.4669
cars,WoodFisher,0.95,seed_21,0.455
cars,WoodFisher,0.95,seed_51,0.456
cars,WoodFisher,0.95,seed_81,0.4553
cars,WoodFisher,0.95,seed_141,0.4554
cars,WoodFisher,0.95,seed_111,0.4557
cifar10,Dense,0.0,seed_21,0.9123
cifar10,Dense,0.0,seed_51,0.9124
