dset,model,sparsity,seed,val_acc
cars,AC/DC,0.5,seed_51,0.5498
cars,AC/DC,0.5,seed_81,0.5494
cars,AC/DC,0.5,seed_111,0.5496
cars,AC/DC,0.5,seed_141,0.5473
cars,M-FAC,0.75,seed_21,0.5608
cars,M-FAC,0.75,seed_51,0.5586
cars,M-FAC,0.75,seed_81,0.5576
cars,M-FAC,0.75,seed_111,0.5586
cars,M-FAC,0.75,seed_141,0.5595
cars,M-FAC,0.89,seed_51,0.5432
cars,M-FAC,0.89,seed_81,0.5462
cars,M-FAC,0.89,seed_21,0.5448
cars,M-FAC,0.89,seed_111,0.5457
cars,M-FAC,0.89,seed_141,0.544
cars,STR,0.75,seed_21,0.4977
cars,STR,0.75,seed_51,0.5009
cars,STR,0.75,seed_81,0.497
cars,STR,0.75,seed_111,0.4984
cars,STR,0.75,seed_141,0.5002
cars,STR,0.9,seed_21,0.4718
cars,STR,0.9,seed_51,0.4705
cars,STR,0.9,seed_81,0.4721
cars,STR,0.9,seed_111,0.47
cars,STR,0.9,seed_141,0.469
cars,Dense,0.0,seed_21,0.5544
cars,Dense,0.0,seed_51,0.5553
cars,Dense,0.0,seed_81,0.555
cars,Dense,0.0,seed_111,0.5553
cars,Dense,0.0,seed_141,0.5549
cifar10,AC/DC,0.3,seed_21,0.8839
cifar10,AC/DC,0.3,seed_51,0.8845
cifar10,AC/DC,0.3,seed_81,0.8843
cifar10,AC/DC,0.3,seed_111,0.8843
cifar10,AC/DC,0.3,seed_141,0.8839
cifar10,AC/DC,0.4,seed_21,0.881
cifar10,AC/DC,0.4,seed_51,0.8807
cifar10,AC/DC,0.4,seed_81,0.8812
cifar10,AC/DC,0.4,seed_111,0.8808
cifar10,AC/DC,0.4,seed_141,0.8815
cifar10,AC/DC,0.9,seed_21,0.8738
cifar10,AC/DC,0.9,seed_51,0.8739
cifar10,AC/DC,0.9,seed_81,0.8741
cifar10,AC/DC,0.9,seed_111,0.8749
cifar10,AC/DC,0.9,seed_141,0.8748
cifar10,AC/DC,0.75,seed_21,0.8847
cifar10,AC/DC,0.75,seed_51,0.8846
cifar10,AC/DC,0.75,seed_81,0.8843
cifar10,AC/DC,0.75,seed_111,0.8842
cifar10,AC/DC,0.75,seed_141,0.8849
cifar10,AC/DC,0.5,seed_21,0.8781
cifar10,AC/DC,0.5,seed_51,0.878
cifar10,AC/DC,0.5,seed_81,0.879
cifar10,AC/DC,0.5,seed_111,0.8783
cifar10,AC/DC,0.5,seed_141,0.8786
cifar10,M-FAC,0.75,seed_21,0.8747
cifar10,M-FAC,0.75,seed_51,0.8748
cifar10,M-FAC,0.75,seed_81,0.8754
cifar10,M-FAC,0.75,seed_111,0.8752
cifar10,M-FAC,0.75,seed_141,0.8748
cifar10,M-FAC,0.89,seed_51,0.8698
cifar10,M-FAC,0.89,seed_81,0.8705
cifar10,M-FAC,0.89,seed_21,0.8704
cifar10,M-FAC,0.89,seed_111,0.87
cifar10,M-FAC,0.89,seed_141,0.8699
cifar10,STR,0.75,seed_21,0.8683
cifar10,STR,0.75,seed_51,0.8687
cifar10,STR,0.75,seed_81,0.8696
cifar10,STR,0.75,seed_141,0.8694
cifar10,STR,0.75,seed_111,0.8691
cifar10,STR,0.9,seed_21,0.8542
cifar10,STR,0.9,seed_51,0.8544
cifar10,STR,0.9,seed_81,0.8542
cifar10,STR,0.9,seed_111,0.8541
cifar10,STR,0.9,seed_141,0.8543
cifar10,Dense,0.0,seed_21,0.8826
cifar10,Dense,0.0,seed_51,0.8826
cifar10,Dense,0.0,seed_81,0.8838
cifar10,Dense,0.0,seed_111,0.8826
cifar10,Dense,0.0,seed_141,0.8817
cifar100,AC/DC,0.3,seed_21,0.7093
cifar100,AC/DC,0.3,seed_51,0.7082
cifar100,AC/DC,0.3,seed_81,0.7079
cifar100,AC/DC,0.3,seed_111,0.7088
cifar100,AC/DC,0.3,seed_141,0.709
cifar100,AC/DC,0.4,seed_21,0.7106
cifar100,AC/DC,0.4,seed_51,0.7106
cifar100,AC/DC,0.4,seed_81,0.7103
cifar100,AC/DC,0.4,seed_111,0.7104
cifar100,AC/DC,0.4,seed_141,0.7109
cifar100,AC/DC,0.9,seed_21,0.6798
cifar100,AC/DC,0.9,seed_51,0.6803
cifar100,AC/DC,0.9,seed_81,0.68
cifar100,AC/DC,0.9,seed_111,0.6804
cifar100,AC/DC,0.9,seed_141,0.6801
cifar100,AC/DC,0.75,seed_21,0.7085
cifar100,AC/DC,0.75,seed_51,0.7082
cifar100,AC/DC,0.75,seed_81,0.7078
cifar100,AC/DC,0.75,seed_111,0.7084
cifar100,AC/DC,0.75,seed_141,0.7078
cifar100,AC/DC,0.5,seed_21,0.7019
cifar100,AC/DC,0.5,seed_51,0.7021
cifar100,AC/DC,0.5,seed_81,0.7017
cifar100,AC/DC,0.5,seed_111,0.702
cifar100,AC/DC,0.5,seed_141,0.7023
cifar100,M-FAC,0.75,seed_21,0.6936
cifar100,M-FAC,0.75,seed_51,0.6934
cifar100,M-FAC,0.75,seed_81,0.6925
cifar100,M-FAC,0.75,seed_111,0.6936
cifar100,M-FAC,0.75,seed_141,0.6934
cifar100,M-FAC,0.89,seed_51,0.6864
cifar100,M-FAC,0.89,seed_81,0.6858
cifar100,M-FAC,0.89,seed_21,0.6867
cifar100,M-FAC,0.89,seed_111,0.6857
cifar100,M-FAC,0.89,seed_141,0.686
cifar100,STR,0.75,seed_21,0.6927
cifar100,STR,0.75,seed_51,0.6929
cifar100,STR,0.75,seed_81,0.6926
cifar100,STR,0.75,seed_111,0.6934
cifar100,STR,0.75,seed_141,0.6927
cifar100,STR,0.9,seed_21,0.6622
cifar100,STR,0.9,seed_51,0.6622
cifar100,STR,0.9,seed_81,0.6626
cifar100,STR,0.9,seed_111,0.6627
cifar100,STR,0.9,seed_141,0.6629
cifar100,Dense,0.0,seed_21,0.7188
cifar100,Dense,0.0,seed_51,0.718
cifar100,Dense,0.0,seed_81,0.7185
cifar100,Dense,0.0,seed_111,0.7187
cifar100,Dense,0.0,seed_141,0.7187
dtd,AC/DC,0.3,seed_21,0.7016
dtd,AC/DC,0.3,seed_51,0.708
dtd,AC/DC,0.3,seed_81,0.7027
dtd,AC/DC,0.3,seed_111,0.7032
dtd,AC/DC,0.3,seed_141,0.7037
dtd,AC/DC,0.4,seed_21,0.7027
dtd,AC/DC,0.4,seed_51,0.7037
dtd,AC/DC,0.4,seed_81,0.7027
dtd,AC/DC,0.4,seed_111,0.7032
dtd,AC/DC,0.4,seed_141,0.7027
dtd,AC/DC,0.9,seed_21,0.6888
dtd,AC/DC,0.9,seed_51,0.6867
dtd,AC/DC,0.9,seed_81,0.6878
dtd,AC/DC,0.9,seed_111,0.6883
dtd,AC/DC,0.9,seed_141,0.6867
dtd,AC/DC,0.75,seed_21,0.7085
dtd,AC/DC,0.75,seed_51,0.7096
dtd,AC/DC,0.75,seed_81,0.7122
dtd,AC/DC,0.75,seed_111,0.7096
dtd,AC/DC,0.75,seed_141,0.7074
dtd,AC/DC,0.5,seed_21,0.716
dtd,AC/DC,0.5,seed_51,0.7106
dtd,AC/DC,0.5,seed_81,0.7096
dtd,AC/DC,0.5,seed_111,0.7191
dtd,AC/DC,0.5,seed_141,0.7144
dtd,M-FAC,0.75,seed_21,0.7053
dtd,M-FAC,0.75,seed_51,0.709
dtd,M-FAC,0.75,seed_81,0.7053
dtd,M-FAC,0.75,seed_111,0.7085
dtd,M-FAC,0.75,seed_141,0.708
dtd,M-FAC,0.89,seed_51,0.6957
dtd,M-FAC,0.89,seed_81,0.6968
dtd,M-FAC,0.89,seed_21,0.6936
dtd,M-FAC,0.89,seed_111,0.6984
dtd,M-FAC,0.89,seed_141,0.6947
dtd,STR,0.75,seed_21,0.7053
dtd,STR,0.75,seed_51,0.7074
dtd,STR,0.75,seed_81,0.7069
dtd,STR,0.75,seed_111,0.7032
dtd,STR,0.75,seed_141,0.7069
dtd,STR,0.9,seed_21,0.6713
dtd,STR,0.9,seed_51,0.6713
dtd,STR,0.9,seed_81,0.6718
dtd,STR,0.9,seed_111,0.6745
dtd,STR,0.9,seed_141,0.6723
dtd,Dense,0.0,seed_21,0.7048
dtd,Dense,0.0,seed_51,0.7106
dtd,Dense,0.0,seed_81,0.7064
dtd,Dense,0.0,seed_111,0.7096
dtd,Dense,0.0,seed_141,0.7074
food101,AC/DC,0.3,seed_21,0.7069
food101,AC/DC,0.3,seed_51,0.7072
food101,AC/DC,0.3,seed_81,0.7072
food101,AC/DC,0.3,seed_111,0.707
food101,AC/DC,0.3,seed_141,0.707
food101,AC/DC,0.4,seed_21,0.7059
food101,AC/DC,0.4,seed_51,0.7057
food101,AC/DC,0.4,seed_81,0.7059
food101,AC/DC,0.4,seed_111,0.7059
food101,AC/DC,0.4,seed_141,0.7061
food101,AC/DC,0.9,seed_21,0.6857
food101,AC/DC,0.9,seed_51,0.6852
food101,AC/DC,0.9,seed_81,0.6858
food101,AC/DC,0.9,seed_111,0.6857
food101,AC/DC,0.9,seed_141,0.6855
food101,AC/DC,0.75,seed_21,0.7023
food101,AC/DC,0.75,seed_51,0.7022
food101,AC/DC,0.75,seed_81,0.7021
food101,AC/DC,0.75,seed_111,0.7021
food101,AC/DC,0.75,seed_141,0.7021
food101,AC/DC,0.5,seed_21,0.7025
food101,AC/DC,0.5,seed_51,0.7025
food101,AC/DC,0.5,seed_81,0.7027
food101,AC/DC,0.5,seed_111,0.7025
food101,AC/DC,0.5,seed_141,0.7023
food101,M-FAC,0.75,seed_21,0.6986
food101,M-FAC,0.75,seed_51,0.6983
food101,M-FAC,0.75,seed_81,0.6987
food101,M-FAC,0.75,seed_111,0.6983
food101,M-FAC,0.75,seed_141,0.6982
food101,M-FAC,0.89,seed_51,0.6909
food101,M-FAC,0.89,seed_81,0.6904
food101,M-FAC,0.89,seed_21,0.6904
food101,M-FAC,0.89,seed_111,0.691
food101,M-FAC,0.89,seed_141,0.6907
food101,STR,0.75,seed_21,0.6766
food101,STR,0.75,seed_51,0.6766
food101,STR,0.75,seed_81,0.6771
food101,STR,0.75,seed_111,0.6766
food101,STR,0.75,seed_141,0.677
food101,STR,0.9,seed_21,0.6531
food101,STR,0.9,seed_51,0.6531
food101,STR,0.9,seed_81,0.6535
food101,STR,0.9,seed_111,0.6533
food101,STR,0.9,seed_141,0.653
food101,Dense,0.0,seed_21,0.7063
food101,Dense,0.0,seed_51,0.7062
food101,Dense,0.0,seed_81,0.7061
food101,Dense,0.0,seed_111,0.7058
food101,Dense,0.0,seed_141,0.7059
pets,AC/DC,0.3,seed_21,0.9076
pets,AC/DC,0.3,seed_51,0.9061
pets,AC/DC,0.3,seed_81,0.9045
pets,AC/DC,0.3,seed_111,0.9042
pets,AC/DC,0.3,seed_141,0.9058
pets,AC/DC,0.4,seed_21,0.9061
pets,AC/DC,0.4,seed_51,0.9041
pets,AC/DC,0.4,seed_81,0.9058
pets,AC/DC,0.4,seed_111,0.905
pets,AC/DC,0.4,seed_141,0.9046
pets,AC/DC,0.9,seed_21,0.8891
pets,AC/DC,0.9,seed_51,0.8898
pets,AC/DC,0.9,seed_81,0.8905
pets,AC/DC,0.9,seed_111,0.8913
pets,AC/DC,0.9,seed_141,0.8908
pets,AC/DC,0.75,seed_21,0.9007
pets,AC/DC,0.75,seed_51,0.9016
pets,AC/DC,0.75,seed_81,0.9001
pets,AC/DC,0.75,seed_111,0.9028
pets,AC/DC,0.75,seed_141,0.9014
pets,AC/DC,0.5,seed_21,0.9032
pets,AC/DC,0.5,seed_51,0.9051
pets,AC/DC,0.5,seed_81,0.903
pets,AC/DC,0.5,seed_111,0.9028
pets,AC/DC,0.5,seed_141,0.9044
pets,M-FAC,0.75,seed_21,0.8991
pets,M-FAC,0.75,seed_51,0.9006
pets,M-FAC,0.75,seed_81,0.8978
pets,M-FAC,0.75,seed_111,0.9005
pets,M-FAC,0.75,seed_141,0.8984
pets,M-FAC,0.89,seed_51,0.8854
pets,M-FAC,0.89,seed_81,0.8845
pets,M-FAC,0.89,seed_21,0.886
pets,M-FAC,0.89,seed_111,0.8862
pets,M-FAC,0.89,seed_141,0.8848
pets,STR,0.75,seed_21,0.8934
pets,STR,0.75,seed_51,0.8918
pets,STR,0.75,seed_81,0.8935
pets,STR,0.75,seed_111,0.8922
pets,STR,0.75,seed_141,0.8924
pets,STR,0.9,seed_21,0.8693
pets,STR,0.9,seed_51,0.8683
pets,STR,0.9,seed_81,0.8681
pets,STR,0.9,seed_111,0.8712
pets,STR,0.9,seed_141,0.8663
pets,Dense,0.0,seed_21,0.9092
pets,Dense,0.0,seed_51,0.906
pets,Dense,0.0,seed_81,0.9081
pets,Dense,0.0,seed_111,0.9064
pets,Dense,0.0,seed_141,0.907
SUN,AC/DC,0.3,seed_21,0.5708
SUN,AC/DC,0.3,seed_51,0.5715
SUN,AC/DC,0.3,seed_81,0.5722
SUN,AC/DC,0.3,seed_111,0.5718
SUN,AC/DC,0.3,seed_141,0.572
SUN,AC/DC,0.4,seed_21,0.5715
SUN,AC/DC,0.4,seed_51,0.5715
SUN,AC/DC,0.4,seed_81,0.5713
SUN,AC/DC,0.4,seed_111,0.5719
SUN,AC/DC,0.4,seed_141,0.5715
SUN,AC/DC,0.9,seed_21,0.5375
SUN,AC/DC,0.9,seed_51,0.5378
SUN,AC/DC,0.9,seed_81,0.5374
SUN,AC/DC,0.9,seed_111,0.5375
SUN,AC/DC,0.9,seed_141,0.5374
SUN,AC/DC,0.75,seed_21,0.5598
SUN,AC/DC,0.75,seed_51,0.5603
SUN,AC/DC,0.75,seed_81,0.5606
SUN,AC/DC,0.75,seed_111,0.5596
SUN,AC/DC,0.75,seed_141,0.5605
SUN,AC/DC,0.5,seed_21,0.5683
SUN,AC/DC,0.5,seed_51,0.5688
SUN,AC/DC,0.5,seed_81,0.5686
SUN,AC/DC,0.5,seed_111,0.5683
SUN,AC/DC,0.5,seed_141,0.5683
SUN,M-FAC,0.75,seed_21,0.5645
SUN,M-FAC,0.75,seed_51,0.5621
SUN,M-FAC,0.75,seed_81,0.5624
SUN,M-FAC,0.75,seed_111,0.5629
SUN,M-FAC,0.75,seed_141,0.5639
SUN,M-FAC,0.89,seed_51,0.5464
SUN,M-FAC,0.89,seed_81,0.5456
SUN,M-FAC,0.89,seed_21,0.5457
SUN,M-FAC,0.89,seed_111,0.5466
SUN,M-FAC,0.89,seed_141,0.5456
SUN,STR,0.75,seed_21,0.5512
SUN,STR,0.75,seed_51,0.5513
SUN,STR,0.75,seed_81,0.5515
SUN,STR,0.75,seed_111,0.5516
SUN,STR,0.75,seed_141,0.5518
SUN,STR,0.9,seed_21,0.525
SUN,STR,0.9,seed_51,0.5246
SUN,STR,0.9,seed_81,0.5247
SUN,STR,0.9,seed_111,0.5247
SUN,STR,0.9,seed_141,0.5251
SUN,Dense,0.0,seed_21,0.571
SUN,Dense,0.0,seed_51,0.57
SUN,Dense,0.0,seed_81,0.5706
SUN,Dense,0.0,seed_111,0.5709
SUN,Dense,0.0,seed_141,0.5709
flowers,AC/DC,0.3,seed_21,0.927
flowers,AC/DC,0.3,seed_51,0.9256
flowers,AC/DC,0.3,seed_81,0.9247
flowers,AC/DC,0.3,seed_111,0.9256
flowers,AC/DC,0.3,seed_141,0.9253
flowers,AC/DC,0.4,seed_21,0.921
flowers,AC/DC,0.4,seed_51,0.9223
flowers,AC/DC,0.4,seed_81,0.922
flowers,AC/DC,0.4,seed_111,0.9209
flowers,AC/DC,0.4,seed_141,0.9236
flowers,AC/DC,0.9,seed_21,0.9188
flowers,AC/DC,0.9,seed_51,0.9204
flowers,AC/DC,0.9,seed_81,0.9198
flowers,AC/DC,0.9,seed_111,0.9173
flowers,AC/DC,0.9,seed_141,0.9186
flowers,AC/DC,0.75,seed_21,0.9268
flowers,AC/DC,0.75,seed_51,0.926
flowers,AC/DC,0.75,seed_81,0.9271
flowers,AC/DC,0.75,seed_111,0.925
flowers,AC/DC,0.75,seed_141,0.9257
flowers,AC/DC,0.5,seed_21,0.9256
flowers,AC/DC,0.5,seed_51,0.9256
flowers,AC/DC,0.5,seed_81,0.9267
flowers,AC/DC,0.5,seed_111,0.927
flowers,AC/DC,0.5,seed_141,0.9252
flowers,M-FAC,0.75,seed_21,0.9259
flowers,M-FAC,0.75,seed_51,0.9251
flowers,M-FAC,0.75,seed_81,0.928
flowers,M-FAC,0.75,seed_111,0.9252
flowers,M-FAC,0.75,seed_141,0.9281
flowers,M-FAC,0.89,seed_51,0.9209
flowers,M-FAC,0.89,seed_81,0.9208
flowers,M-FAC,0.89,seed_21,0.9183
flowers,M-FAC,0.89,seed_111,0.9204
flowers,M-FAC,0.89,seed_141,0.9216
flowers,STR,0.75,seed_21,0.9138
flowers,STR,0.75,seed_51,0.9143
flowers,STR,0.75,seed_81,0.9137
flowers,STR,0.75,seed_111,0.9126
flowers,STR,0.75,seed_141,0.9148
flowers,STR,0.9,seed_21,0.9085
flowers,STR,0.9,seed_51,0.9059
flowers,STR,0.9,seed_81,0.9095
flowers,STR,0.9,seed_111,0.9085
flowers,STR,0.9,seed_141,0.9081
flowers,Dense,0.0,seed_21,0.9276
flowers,Dense,0.0,seed_51,0.9283
flowers,Dense,0.0,seed_81,0.9278
flowers,Dense,0.0,seed_111,0.9284
flowers,Dense,0.0,seed_141,0.9291
